team_id,HoA,won,settled_in,goals,shots,hits,pim,powerPlayOpportunities,powerPlayGoals,faceOffWinPercentage,giveaways,takeaways,blocked,startRinkSide,next_game_won
14,away,1,REG,2.0,29.0,40.0,6.0,3.0,1.0,53.4,9.0,5.0,22.0,left,1.0
25,home,0,REG,0.0,22.0,37.0,6.0,3.0,0.0,46.6,11.0,5.0,16.0,left,0.0
14,home,0,OT,2.0,41.0,64.0,4.0,1.0,0.0,51.2,24.0,11.0,18.0,right,1.0
14,home,0,OT,2.0,41.0,64.0,4.0,1.0,0.0,51.2,24.0,11.0,18.0,right,0.0
25,away,1,OT,3.0,33.0,57.0,2.0,2.0,0.0,48.8,23.0,17.0,33.0,right,0.0
25,away,1,OT,3.0,33.0,57.0,2.0,2.0,0.0,48.8,23.0,17.0,33.0,right,1.0
14,away,1,OT,5.0,35.0,57.0,8.0,4.0,3.0,41.9,19.0,11.0,18.0,left,0.0
14,away,1,OT,5.0,35.0,57.0,8.0,4.0,3.0,41.9,19.0,11.0,18.0,left,1.0
25,home,0,OT,4.0,30.0,49.0,10.0,3.0,0.0,58.1,28.0,10.0,19.0,left,1.0
25,home,0,OT,4.0,30.0,49.0,10.0,3.0,0.0,58.1,28.0,10.0,19.0,left,0.0
14,away,1,REG,5.0,32.0,54.0,36.0,4.0,1.0,44.7,14.0,3.0,12.0,left,1.0
14,away,1,REG,5.0,32.0,54.0,36.0,4.0,1.0,44.7,14.0,3.0,12.0,left,1.0
25,home,0,REG,2.0,24.0,59.0,26.0,4.0,0.0,55.3,21.0,4.0,9.0,left,0.0
25,home,0,REG,2.0,24.0,59.0,26.0,4.0,0.0,55.3,21.0,4.0,9.0,left,0.0
14,home,1,REG,3.0,31.0,51.0,14.0,4.0,2.0,50.7,11.0,8.0,19.0,right,1.0
14,home,1,REG,3.0,31.0,51.0,14.0,4.0,2.0,50.7,11.0,8.0,19.0,right,1.0
25,away,0,REG,2.0,29.0,50.0,12.0,5.0,1.0,49.3,15.0,4.0,20.0,right,0.0
25,away,0,REG,2.0,29.0,50.0,12.0,5.0,1.0,49.3,15.0,4.0,20.0,right,0.0
14,home,0,REG,1.0,36.0,56.0,16.0,3.0,0.0,48.9,10.0,2.0,18.0,right,1.0
14,home,0,REG,1.0,36.0,56.0,16.0,3.0,0.0,48.9,10.0,2.0,18.0,right,0.0
25,away,1,REG,4.0,20.0,50.0,8.0,2.0,0.0,51.1,9.0,6.0,26.0,right,0.0
